Departamento,Municipio,Distrito,CodigoPostal
Ahuachapán,Ahuachapán Norte,Atiquizaya,02103
Ahuachapán,Ahuachapán Norte,El Refugio,02107
Ahuachapán,Ahuachapán Norte,San Lorenzo,02115
Ahuachapán,Ahuachapán Norte,Turín,02118
Ahuachapán,Ahuachapán Centro,Ahuachapán,02101
Ahuachapán,Ahuachapán Centro,Apaneca,02102
Ahuachapán,Ahuachapán Centro,Concepción de Ataco,02106
Ahuachapán,Ahuachapán Centro,Tacuba,02117
Ahuachapán,Ahuachapán Sur,Guaymango,02108
Ahuachapán,Ahuachapán Sur,Jujutla,02109
Ahuachapán,Ahuachapán Sur,San Francisco Menéndez,02113
Ahuachapán,Ahuachapán Sur,San Pedro Puxtla,02116
San Salvador,San Salvador Norte,Aguilares,01122
San Salvador,San Salvador Norte,El Paisnal,01124
San Salvador,San Salvador Norte,Guazapa,01125
San Salvador,San Salvador Oeste,Apopa,01123
San Salvador,San Salvador Oeste,Nejapa,01126
San Salvador,San Salvador Este,Ilopango,01117
San Salvador,San Salvador Este,San Martín,01129
San Salvador,San Salvador Este,Soyapango,01116
San Salvador,San Salvador Este,Tonacatepeque,01132
San Salvador,San Salvador Centro,Ayutuxtepeque,01121
San Salvador,San Salvador Centro,Mejicanos,01120
San Salvador,San Salvador Centro,San Salvador,01101
San Salvador,San Salvador Centro,Cuscatancingo,01119
San Salvador,San Salvador Centro,Ciudad Delgado,01118
San Salvador,San Salvador Sur,Panchimalco,01127
San Salvador,San Salvador Sur,Rosario de Mora,01128
San Salvador,San Salvador Sur,San Marcos,01115
San Salvador,San Salvador Sur,Santo Tomás,01131
San Salvador,San Salvador Sur,Santiago Texacuangos,01130
La Libertad,La Libertad Norte,Quezaltepeque,01515
La Libertad,La Libertad Norte,San Matías,01518
La Libertad,La Libertad Norte,San Pablo Tacachico,01519
La Libertad,La Libertad Centro,San Juan Opico,01514
La Libertad,La Libertad Centro,Ciudad Arce,01504
La Libertad,La Libertad Oeste,Colón,01512
La Libertad,La Libertad Oeste,Jayaque,01509
La Libertad,La Libertad Oeste,Sacacoyo,01516
La Libertad,La Libertad Oeste,Tepecoyo,01524
La Libertad,La Libertad Oeste,Talnique,01521
La Libertad,La Libertad Este,Antiguo Cuscatlán,01502
La Libertad,La Libertad Este,Huizúcar,01508
La Libertad,La Libertad Este,Nuevo Cuscatlán,01513
La Libertad,La Libertad Este,San José Villanueva,01517
La Libertad,La Libertad Este,Zaragoza,01525
La Libertad,La Libertad Costa,Chiltiupán,01507
La Libertad,La Libertad Costa,Jicalapa,01510
La Libertad,La Libertad Costa,La Libertad,01511
La Libertad,La Libertad Costa,Tamanique,01522
La Libertad,La Libertad Costa,Teotepeque,01523
La Libertad,La Libertad Sur,Comasagua,01506
La Libertad,La Libertad Sur,Santa Tecla,01501
Chalatenango,Chalatenango Norte,La Palma,01314
Chalatenango,Chalatenango Norte,Citalá,01306
Chalatenango,Chalatenango Norte,San Ignacio,01329
Chalatenango,Chalatenango Centro,Nueva Concepción,01319
Chalatenango,Chalatenango Centro,Tejutla,01335
Chalatenango,Chalatenango Centro,La Reina,01315
Chalatenango,Chalatenango Centro,Agua Caliente,01302
Chalatenango,Chalatenango Centro,Dulce Nombre de María,01309
Chalatenango,Chalatenango Centro,El Paraíso,01312
Chalatenango,Chalatenango Centro,San Francisco Morazán,01328
Chalatenango,Chalatenango Centro,San Rafael,01333
Chalatenango,Chalatenango Centro,Santa Rita,01334
Chalatenango,Chalatenango Centro,San Fernando,01326
Chalatenango,Chalatenango Sur,Chalatenango,01301
Chalatenango,Chalatenango Sur,Arcatao,01303
Chalatenango,Chalatenango Sur,Azacualpa,01304
Chalatenango,Chalatenango Sur,Comalapa,01307
Chalatenango,Chalatenango Sur,Concepción Quezaltepeque,01308
Chalatenango,Chalatenango Sur,El Carrizal,01311
Chalatenango,Chalatenango Sur,La Laguna,01313
Chalatenango,Chalatenango Sur,Las Vueltas,01317
Chalatenango,Chalatenango Sur,Nombre de Jesús,01318
Chalatenango,Chalatenango Sur,Nueva Trinidad,01320
Chalatenango,Chalatenango Sur,Ojos de Agua,01321
Chalatenango,Chalatenango Sur,Potonico,01322
Chalatenango,Chalatenango Sur,San Antonio de La Cruz,01324
Chalatenango,Chalatenango Sur,San Antonio Los Ranchos,01325
Chalatenango,Chalatenango Sur,San Francisco Lempa,01327
Chalatenango,Chalatenango Sur,San Isidro Labrador,01330
Chalatenango,Chalatenango Sur,San José Cancasque,01305
Chalatenango,Chalatenango Sur,San Miguel de Mercedes,01332
Chalatenango,Chalatenango Sur,San José Las Flores,01316
Chalatenango,Chalatenango Sur,San Luis del Carmen,01331
Cuscatlán,Cuscatlán Norte,Suchitoto,01415
Cuscatlán,Cuscatlán Norte,San José Guayabal,01409
Cuscatlán,Cuscatlán Norte,Oratorio de Concepción,01406
Cuscatlán,Cuscatlán Norte,San Bartolomé Perulapán,01407
Cuscatlán,Cuscatlán Norte,San Pedro Perulapán,01410
Cuscatlán,Cuscatlán Sur,Cojutepeque,01401
Cuscatlán,Cuscatlán Sur,San Rafael Cedros,01411
Cuscatlán,Cuscatlán Sur,Candelaria,01402
Cuscatlán,Cuscatlán Sur,Monte San Juan,01405
Cuscatlán,Cuscatlán Sur,El Carmen,01403
Cuscatlán,Cuscatlán Sur,San Cristóbal,01408
Cuscatlán,Cuscatlán Sur,Santa Cruz Michapa,01414
Cuscatlán,Cuscatlán Sur,San Ramón,01412
